review_id,item_id,category,brand,user_id,size_ordered,user_height_cm,user_weight_kg,user_body_type,fit_feedback,review_text,rating,returned,return_reason
REV-000022,DRS-106,Dress,Dressberry,USR-1832,S,161.7,57.7,Athletic,Small,"I usually wear S, but this was way too snug. Great length, falls just right.",5,1,Fit
REV-000023,TOP-311,Top,Mast & Harbour,USR-3442,S,152.4,47.6,Hourglass,Fit,"Perfect fit right out of the package. Way too tight across the bust and chest. Length is quite long, might need tailoring.",2,0,None
REV-000024,JNS-211,Jeans,Roadster,USR-2684,XL,159.4,69.1,Regular,Large,"Runs on the larger side, felt baggy and loose. Gaped at the waist quite a bit. Cropped shorter than expected for tall frames.",4,1,Fit
REV-000025,TOP-303,Top,Dressberry,USR-6442,S,164.8,44.8,Regular,Fit,Size S fits like a glove! True to size. Very constricting waistline. Way too tight across the bust and chest.,5,0,None
REV-000026,JNS-208,Jeans,Wrogn,USR-6728,M,164.7,59.0,Regular,Large,Ordered my usual size M and it was swimming on me. Fits very comfortably around the waist.,1,1,Fit
REV-000027,JNS-210,Jeans,Dressberry,USR-9785,M,157.9,63.6,Regular,Large,Ordered my usual size M and it was swimming on me. Fits very comfortably around the waist. Super stretchy and forgiving material.,1,1,Not as pictured
REV-000028,JNS-205,Jeans,Dressberry,USR-4114,L,169.5,76.8,Hourglass,Fit,Absolutely love the fit of size L. Waist was noticeably smaller than standard sizing.,5,0,None
REV-000029,ETH-406,Ethnic,Anouk,USR-6143,S,156.8,54.1,Regular,Fit,"Matches the size chart accurately, so comfortable. Watch out after washing, might shrink slightly. Great length, falls just right.",4,0,None
REV-000030,ETH-403,Ethnic,W for Woman,USR-3851,L,164.8,73.0,Athletic,Fit,"Perfect fit right out of the package. Great length, falls just right. Rigid material with no give whatsoever.",4,0,None
REV-000031,TOP-309,Top,Mango,USR-5649,M,159.2,57.0,Athletic,Small,"Beautiful piece, but sizing is off and it runs tight. Fabric has zero stretch and is quite stiff. Great length, falls just right.",1,0,None
REV-000032,TOP-306,Top,Mast & Harbour,USR-2193,XS,155.0,44.8,Petite,Fit,Absolutely love the fit of size XS. Fits very comfortably around the waist. Rigid material with no give whatsoever.,4,0,None
REV-000033,TOP-306,Top,Mast & Harbour,USR-9486,L,168.0,80.0,Hourglass,Fit,"Perfect fit right out of the package. Watch out after washing, might shrink slightly.",5,0,None
REV-000034,TOP-305,Top,Mango,USR-9976,L,162.0,70.9,Regular,Fit,Perfect fit right out of the package. Runs small at bust for anyone with curves.,4,0,None
REV-000035,DRS-105,Dress,Mango,USR-8206,S,165.0,56.5,Athletic,Fit,Absolutely love the fit of size S. The waistband dug right into my sides. Runs small at bust for anyone with curves.,3,0,None
REV-000036,TOP-303,Top,Dressberry,USR-7797,XL,165.0,79.0,Pear,Small,"Ordered size XL but this definitely runs small. Great length, falls just right. Runs small at bust for anyone with curves.",2,0,None
REV-000037,TOP-311,Top,Mast & Harbour,USR-7865,XL,162.3,76.7,Athletic,Fit,"Matches the size chart accurately, so comfortable. Great length, falls just right. Runs small at bust for anyone with curves.",4,0,None
REV-000038,DRS-109,Dress,Roadster,USR-8657,L,145.0,55.3,Regular,Large,"Definitely oversized cut, consider sizing down. Too long for my height, dragged on the floor without heels. Loose at the bust and chest armholes.",1,1,Fit
REV-000039,JNS-202,Jeans,Mango,USR-6363,M,163.1,58.7,Pear,Fit,"Matches the size chart accurately, so comfortable. Fits very comfortably around the waist. Rigid material with no give whatsoever.",5,0,None
REV-000040,JNS-203,Jeans,Roadster,USR-6733,XS,163.1,43.9,Athletic,Fit,Absolutely love the fit of size XS. Gaped at the waist quite a bit.,5,0,None
REV-000041,TOP-307,Top,HRX,USR-3068,M,161.0,63.7,Athletic,Small,Ordered size M but this definitely runs small. Fits very comfortably around the waist. Tight across the shoulders and chest area.,1,1,Fit
REV-000042,TOP-302,Top,Wrogn,USR-7149,S,172.5,63.2,Regular,Large,Had to return size S because it was much too big. Plenty of room around the waist. A bit longer than pictured on the model.,1,0,None
REV-000043,TOP-311,Top,Mast & Harbour,USR-6688,S,157.0,52.5,Pear,Fit,"Matches the size chart accurately, so comfortable. Tight across the shoulders and chest area. Fits very comfortably around the waist.",5,0,None
REV-000044,DRS-112,Dress,Mast & Harbour,USR-8135,L,168.7,69.6,Athletic,Fit,"Matches the size chart accurately, so comfortable. Tight across the shoulders and chest area. Great length, falls just right.",4,0,None
REV-000045,TOP-305,Top,Mango,USR-5569,L,158.9,63.5,Pear,Fit,Perfect fit right out of the package. Buttons pulled open at the chest. Fits very comfortably around the waist.,2,0,None
REV-000046,ETH-402,Ethnic,Anouk,USR-5581,L,163.2,71.6,Athletic,Small,"Felt very suffocating in size L, recommend sizing up. Runs small at bust for anyone with curves. The waistband dug right into my sides.",1,0,None
REV-000047,JNS-207,Jeans,Mango,USR-2524,S,157.7,54.6,Pear,Fit,Perfect fit right out of the package. Length was somewhat brief. Very constricting waistline.,4,0,None
REV-000048,JNS-206,Jeans,Mast & Harbour,USR-8434,XS,159.8,45.1,Pear,Fit,Absolutely love the fit of size XS. A bit longer than pictured on the model. Fits very comfortably around the waist.,5,0,None
REV-000049,ETH-402,Ethnic,Anouk,USR-9595,S,164.5,65.5,Pear,Small,"I usually wear S, but this was way too snug. Fabric has zero stretch and is quite stiff. Tight across the shoulders and chest area.",1,1,Fit
REV-000050,DRS-101,Dress,Mango,USR-2680,M,162.5,58.9,Athletic,Fit,"Matches the size chart accurately, so comfortable. Extremely tight around waist with almost no give. Way too tight across the bust and chest.",3,0,None
REV-000051,DRS-110,Dress,Dressberry,USR-3485,M,152.9,50.5,Athletic,Small,"I usually wear M, but this was way too snug. Length is quite long, might need tailoring.",2,1,Fit
REV-000052,TOP-313,Top,Taavi,USR-6003,S,160.2,51.7,Athletic,Fit,"Absolutely love the fit of size S. Fits very comfortably around the waist. Watch out after washing, might shrink slightly.",4,0,None
REV-000053,TOP-303,Top,Dressberry,USR-1043,M,161.4,64.4,Pear,Fit,"Matches the size chart accurately, so comfortable. Watch out after washing, might shrink slightly. Extremely tight around waist with almost no give.",5,0,None
REV-000054,DRS-108,Dress,Mango,USR-7965,M,175.3,73.4,Petite,Large,"Runs on the larger side, felt baggy and loose. Length is quite long, might need tailoring. Waist was noticeably smaller than standard sizing.",1,0,None
REV-000055,ETH-408,Ethnic,Libas,USR-8679,M,164.3,61.8,Pear,Fit,Size M fits like a glove! True to size. Fabric has zero stretch and is quite stiff.,4,0,None
REV-000056,ETH-407,Ethnic,W for Woman,USR-4750,M,149.5,51.6,Athletic,Large,Had to return size M because it was much too big. A bit longer than pictured on the model. Loose at the bust and chest armholes.,3,0,None
REV-000057,ETH-401,Ethnic,Libas,USR-3973,XL,162.9,86.4,Pear,Large,Ordered my usual size XL and it was swimming on me. Fits very comfortably around the waist. Chest and shoulder seams align nicely.,2,1,Fit
REV-000058,JNS-209,Jeans,Mast & Harbour,USR-2442,S,161.2,63.3,Pear,Small,Ordered size S but this definitely runs small.,3,0,None
REV-000059,TOP-310,Top,Roadster,USR-4073,XS,162.3,49.4,Pear,Fit,Absolutely love the fit of size XS. Cropped shorter than expected for tall frames. Loose at the bust and chest armholes.,4,0,None
REV-000060,DRS-102,Dress,Dressberry,USR-2989,L,170.3,75.5,Regular,Fit,"Matches the size chart accurately, so comfortable. Fits very comfortably around the waist.",5,0,None
REV-000061,ETH-405,Ethnic,Libas,USR-2924,S,167.9,55.6,Regular,Fit,"Matches the size chart accurately, so comfortable. Chest and shoulder seams align nicely. A bit longer than pictured on the model.",4,0,None
REV-000062,ETH-402,Ethnic,Anouk,USR-4122,S,172.0,52.9,Petite,Fit,"Matches the size chart accurately, so comfortable. Rigid material with no give whatsoever. Tight across the shoulders and chest area.",5,0,None
REV-000063,DRS-110,Dress,Dressberry,USR-9022,XL,166.5,87.4,Pear,Fit,Perfect fit right out of the package. A little too short on me.,4,0,None
REV-000064,ETH-413,Ethnic,Taavi,USR-4826,S,155.8,51.1,Pear,Fit,Absolutely love the fit of size S. A bit longer than pictured on the model. Chest and shoulder seams align nicely.,4,0,None
REV-000065,DRS-107,Dress,Mast & Harbour,USR-8213,S,163.2,56.7,Petite,Fit,"Absolutely love the fit of size S. Watch out after washing, might shrink slightly. Great length, falls just right.",5,0,None
REV-000066,JNS-210,Jeans,Dressberry,USR-2315,L,152.0,54.2,Regular,Large,Ordered my usual size L and it was swimming on me. Fits very comfortably around the waist. Super stretchy and forgiving material.,3,1,Fit
REV-000067,DRS-107,Dress,Mast & Harbour,USR-8110,M,155.3,60.3,Regular,Small,"Beautiful piece, but sizing is off and it runs tight. Fabric has zero stretch and is quite stiff. Too long for my height, dragged on the floor without heels.",1,1,Fit
REV-000068,DRS-111,Dress,Anouk,USR-3950,XL,156.2,71.0,Hourglass,Fit,Absolutely love the fit of size XL. Rigid material with no give whatsoever. Fits very comfortably around the waist.,4,0,None
REV-000069,JNS-207,Jeans,Mango,USR-8622,XS,157.2,54.3,Athletic,Small,"Felt very suffocating in size XS, recommend sizing up. Cropped shorter than expected for tall frames. Waist was noticeably smaller than standard sizing.",2,1,Fit
REV-000070,TOP-307,Top,HRX,USR-7302,XS,168.0,52.3,Hourglass,Small,"Felt very suffocating in size XS, recommend sizing up. Cropped shorter than expected for tall frames. Extremely tight around waist with almost no give.",1,1,Fit
REV-000071,ETH-403,Ethnic,W for Woman,USR-4115,L,164.0,75.8,Pear,Fit,"Size L fits like a glove! True to size. Great length, falls just right. Rigid material with no give whatsoever.",3,0,None
REV-000072,DRS-106,Dress,Dressberry,USR-3153,M,151.6,54.9,Regular,Fit,"Perfect fit right out of the package. Too long for my height, dragged on the floor without heels.",5,0,None
REV-000073,JNS-207,Jeans,Mango,USR-8894,L,164.3,70.6,Athletic,Small,"I usually wear L, but this was way too snug. Length was somewhat brief. Very constricting waistline.",1,0,None
REV-000074,DRS-101,Dress,Mango,USR-7464,XS,154.1,43.2,Pear,Fit,"Matches the size chart accurately, so comfortable. Waist was noticeably smaller than standard sizing. Way too tight across the bust and chest.",4,0,None
REV-000075,ETH-403,Ethnic,W for Woman,USR-1410,M,166.0,67.1,Regular,Large,Had to return size M because it was much too big. Fits very comfortably around the waist. Rigid material with no give whatsoever.,3,1,Fit
REV-000076,TOP-311,Top,Mast & Harbour,USR-4846,M,164.2,66.1,Hourglass,Fit,"Matches the size chart accurately, so comfortable. Buttons pulled open at the chest.",5,0,None
REV-000077,ETH-403,Ethnic,W for Woman,USR-9017,L,157.9,60.0,Pear,Fit,"Absolutely love the fit of size L. Watch out after washing, might shrink slightly. Chest and shoulder seams align nicely.",4,0,None
REV-000078,JNS-206,Jeans,Mast & Harbour,USR-7523,XS,164.5,55.4,Hourglass,Fit,"Size XS fits like a glove! True to size. Fits very comfortably around the waist. Length is quite long, might need tailoring.",5,0,None
REV-000079,DRS-105,Dress,Mango,USR-4362,M,175.2,76.7,Regular,Fit,Absolutely love the fit of size M. Extremely tight around waist with almost no give. Tight across the shoulders and chest area.,4,0,None
REV-000080,DRS-108,Dress,Mango,USR-3858,S,154.4,61.3,Petite,Small,"Beautiful piece, but sizing is off and it runs tight. Extremely tight around waist with almost no give. Chest and shoulder seams align nicely.",1,0,None
REV-000081,DRS-108,Dress,Mango,USR-9619,L,155.9,63.6,Athletic,Fit,Absolutely love the fit of size L. A bit longer than pictured on the model. Extremely tight around waist with almost no give.,3,0,None
REV-000082,DRS-104,Dress,Taavi,USR-1510,M,170.4,58.3,Regular,Large,"Ordered my usual size M and it was swimming on me. Length is quite long, might need tailoring. Chest and shoulder seams align nicely.",2,1,Fit
REV-000083,JNS-207,Jeans,Mango,USR-9692,M,169.1,70.8,Pear,Small,"I usually wear M, but this was way too snug. Very constricting waistline. Cropped shorter than expected for tall frames.",3,1,Fit
REV-000084,TOP-306,Top,Mast & Harbour,USR-6553,XL,168.1,85.9,Pear,Fit,"Absolutely love the fit of size XL. Great length, falls just right. Fabric has zero stretch and is quite stiff.",4,0,None
REV-000085,ETH-411,Ethnic,W for Woman,USR-2582,S,160.8,52.6,Athletic,Fit,Perfect fit right out of the package. Rigid material with no give whatsoever.,5,0,None
REV-000086,ETH-402,Ethnic,Anouk,USR-5712,XS,156.5,49.2,Pear,Small,"Beautiful piece, but sizing is off and it runs tight. Tight across the shoulders and chest area. Rigid material with no give whatsoever.",3,1,Fit
REV-000087,DRS-112,Dress,Mast & Harbour,USR-1474,M,162.0,64.3,Pear,Large,"Definitely oversized cut, consider sizing down. Great length, falls just right. Plenty of room around the waist.",1,1,Fit
REV-000088,TOP-303,Top,Dressberry,USR-7163,M,164.4,71.2,Pear,Small,Ordered size M but this definitely runs small. Fabric has zero stretch and is quite stiff. The waistband dug right into my sides.,2,1,Quality
REV-000089,TOP-305,Top,Mango,USR-5458,XL,162.6,75.9,Athletic,Fit,"Size XL fits like a glove! True to size. Great length, falls just right. Way too tight across the bust and chest.",5,0,None
REV-000090,ETH-406,Ethnic,Anouk,USR-9633,XL,160.7,86.6,Pear,Large,"Runs on the larger side, felt baggy and loose. Fabric has zero stretch and is quite stiff. Great length, falls just right.",4,1,Fit
REV-000091,DRS-112,Dress,Mast & Harbour,USR-8055,S,166.8,55.5,Hourglass,Fit,Perfect fit right out of the package. Way too tight across the bust and chest. Fits very comfortably around the waist.,5,0,None
REV-000092,TOP-313,Top,Taavi,USR-6129,L,155.2,60.3,Pear,Fit,"Perfect fit right out of the package. Length is quite long, might need tailoring. Fits very comfortably around the waist.",4,0,None
REV-000093,DRS-107,Dress,Mast & Harbour,USR-8155,L,161.0,67.2,Pear,Fit,"Perfect fit right out of the package. Fits very comfortably around the waist. Watch out after washing, might shrink slightly.",4,0,None
REV-000094,JNS-211,Jeans,Roadster,USR-6724,M,165.7,63.0,Athletic,Fit,Absolutely love the fit of size M. Gaped at the waist quite a bit. Length was somewhat brief.,3,0,None
REV-000095,ETH-413,Ethnic,Taavi,USR-3902,XS,156.7,42.9,Athletic,Fit,"Perfect fit right out of the package. Fabric has zero stretch and is quite stiff. Great length, falls just right.",5,0,None
REV-000096,JNS-206,Jeans,Mast & Harbour,USR-5961,L,159.5,67.3,Athletic,Small,"Beautiful piece, but sizing is off and it runs tight. A bit longer than pictured on the model. Extremely tight around waist with almost no give.",2,1,Fit
REV-000097,TOP-305,Top,Mango,USR-1672,XS,164.0,49.6,Regular,Fit,Size XS fits like a glove! True to size. Tight across the shoulders and chest area.,4,0,None
REV-000098,ETH-405,Ethnic,Libas,USR-9266,M,163.7,66.1,Hourglass,Fit,"Absolutely love the fit of size M. Length is quite long, might need tailoring.",4,0,None
REV-000099,ETH-407,Ethnic,W for Woman,USR-6543,M,156.5,58.2,Athletic,Fit,Perfect fit right out of the package. Fits very comfortably around the waist.,5,1,Quality
REV-000100,DRS-106,Dress,Dressberry,USR-6461,XS,162.9,50.0,Athletic,Fit,"Matches the size chart accurately, so comfortable. Great length, falls just right. Fits very comfortably around the waist.",5,0,None
REV-000101,ETH-406,Ethnic,Anouk,USR-3093,XL,164.9,68.9,Athletic,Large,"Definitely oversized cut, consider sizing down. Waist was noticeably smaller than standard sizing. Way too tight across the bust and chest.",1,0,None
REV-000102,JNS-201,Jeans,Roadster,USR-8967,M,169.9,78.5,Pear,Small,Ordered size M but this definitely runs small. Waist was noticeably smaller than standard sizing.,1,0,None
REV-000103,DRS-110,Dress,Dressberry,USR-7172,M,153.1,46.0,Pear,Fit,"Matches the size chart accurately, so comfortable. Fits very comfortably around the waist. A bit longer than pictured on the model.",4,0,None
REV-000104,ETH-412,Ethnic,Libas,USR-5668,L,166.0,69.3,Athletic,Fit,"Matches the size chart accurately, so comfortable. A bit longer than pictured on the model. Watch out after washing, might shrink slightly.",5,0,None
REV-000105,ETH-413,Ethnic,Taavi,USR-5616,XL,166.0,102.0,Pear,Large,"Runs on the larger side, felt baggy and loose. Fits very comfortably around the waist. Watch out after washing, might shrink slightly.",3,0,None
REV-000106,ETH-412,Ethnic,Libas,USR-2374,L,166.4,76.2,Hourglass,Fit,"Absolutely love the fit of size L. Too long for my height, dragged on the floor without heels. Rigid material with no give whatsoever.",3,0,None
REV-000107,JNS-212,Jeans,Mango,USR-9224,XL,169.0,73.3,Pear,Fit,"Perfect fit right out of the package. Too long for my height, dragged on the floor without heels.",5,1,Fit
REV-000108,TOP-307,Top,HRX,USR-5700,M,160.4,67.1,Athletic,Small,"Beautiful piece, but sizing is off and it runs tight. Runs small at bust for anyone with curves. Super stretchy and forgiving material.",1,1,Fit
REV-000109,DRS-104,Dress,Taavi,USR-2996,M,157.2,55.1,Pear,Fit,"Size M fits like a glove! True to size. Plenty of room around the waist. Too long for my height, dragged on the floor without heels.",4,1,Not as pictured
REV-000110,DRS-101,Dress,Mango,USR-8032,M,159.2,59.6,Athletic,Fit,Perfect fit right out of the package. Way too tight across the bust and chest. Extremely tight around waist with almost no give.,3,0,None
REV-000111,JNS-212,Jeans,Mango,USR-7338,XS,178.2,52.4,Pear,Fit,Size XS fits like a glove! True to size. A bit longer than pictured on the model.,5,0,None
REV-000112,DRS-103,Dress,Roadster,USR-3185,XS,167.2,47.7,Pear,Small,"Felt very suffocating in size XS, recommend sizing up. The waistband dug right into my sides. Buttons pulled open at the chest.",3,0,None
REV-000113,DRS-103,Dress,Roadster,USR-4302,XL,159.3,69.4,Regular,Fit,"Matches the size chart accurately, so comfortable. Way too tight across the bust and chest. The fabric has amazing stretch and recovery.",4,0,None
REV-000114,ETH-405,Ethnic,Libas,USR-1783,XS,162.9,50.7,Pear,Small,"Felt very suffocating in size XS, recommend sizing up. Length is quite long, might need tailoring. The waistband dug right into my sides.",3,0,None
REV-000115,ETH-410,Ethnic,Anouk,USR-2353,L,157.6,64.1,Pear,Large,Had to return size L because it was much too big. Rigid material with no give whatsoever. Fits very comfortably around the waist.,1,1,Fit
REV-000116,ETH-403,Ethnic,W for Woman,USR-6776,M,157.5,59.6,Regular,Large,"Definitely oversized cut, consider sizing down. Watch out after washing, might shrink slightly. Great length, falls just right.",1,0,None
REV-000117,DRS-109,Dress,Roadster,USR-1570,S,162.8,54.9,Hourglass,Fit,Absolutely love the fit of size S. Super stretchy and forgiving material. Loose at the bust and chest armholes.,5,0,None
REV-000118,TOP-310,Top,Roadster,USR-3255,L,177.1,80.3,Pear,Fit,Absolutely love the fit of size L. Loose at the bust and chest armholes. Waist is roomy and relaxed.,2,0,None
REV-000119,ETH-413,Ethnic,Taavi,USR-5288,M,148.7,52.9,Pear,Large,"Ordered my usual size M and it was swimming on me. Fabric has zero stretch and is quite stiff. Length is quite long, might need tailoring.",2,1,Quality
REV-000120,ETH-409,Ethnic,Taavi,USR-6692,L,158.0,66.0,Hourglass,Large,"Runs on the larger side, felt baggy and loose. Loose at the bust and chest armholes. Too long for my height, dragged on the floor without heels.",3,0,None
REV-000121,JNS-212,Jeans,Mango,USR-1430,M,157.1,56.2,Athletic,Fit,"Size M fits like a glove! True to size. Length is quite long, might need tailoring. Fits very comfortably around the waist.",5,0,None
REV-000122,TOP-313,Top,Taavi,USR-7708,XL,165.9,72.9,Hourglass,Large,"Runs on the larger side, felt baggy and loose. Fits very comfortably around the waist. Watch out after washing, might shrink slightly.",2,1,Fit
REV-000123,DRS-111,Dress,Anouk,USR-3697,S,154.3,52.2,Pear,Fit,Size S fits like a glove! True to size. Fits very comfortably around the waist. A bit longer than pictured on the model.,5,0,None
REV-000124,DRS-106,Dress,Dressberry,USR-9740,XS,159.3,52.6,Petite,Fit,Perfect fit right out of the package.,5,0,None
REV-000125,DRS-106,Dress,Dressberry,USR-1464,M,174.5,75.3,Hourglass,Fit,"Matches the size chart accurately, so comfortable. Length was somewhat brief. Chest and shoulder seams align nicely.",5,0,None
REV-000126,JNS-204,Jeans,HRX,USR-8912,L,153.9,63.2,Athletic,Fit,"Matches the size chart accurately, so comfortable. Length is quite long, might need tailoring. Love the comfortable stretch in this fabric.",4,1,Quality
REV-000127,ETH-410,Ethnic,Anouk,USR-6231,L,176.9,84.9,Regular,Fit,Size L fits like a glove! True to size. Fits very comfortably around the waist. Rigid material with no give whatsoever.,4,0,None
REV-000128,DRS-104,Dress,Taavi,USR-2586,S,152.2,49.5,Pear,Fit,Absolutely love the fit of size S. Waist is roomy and relaxed. Rigid material with no give whatsoever.,5,0,None
REV-000129,TOP-309,Top,Mango,USR-9163,M,171.1,60.1,Pear,Fit,"Matches the size chart accurately, so comfortable. Buttons pulled open at the chest. Fabric has zero stretch and is quite stiff.",4,0,None
REV-000130,ETH-402,Ethnic,Anouk,USR-9108,L,165.5,71.6,Regular,Fit,"Matches the size chart accurately, so comfortable. Tight across the shoulders and chest area. Fits very comfortably around the waist.",5,0,None
REV-000131,DRS-104,Dress,Taavi,USR-7563,M,156.2,56.1,Athletic,Fit,"Perfect fit right out of the package. Plenty of room around the waist. Too long for my height, dragged on the floor without heels.",5,1,Quality
REV-000132,JNS-210,Jeans,Dressberry,USR-7114,XS,145.0,40.6,Petite,Fit,"Size XS fits like a glove! True to size. Too long for my height, dragged on the floor without heels. Love the comfortable stretch in this fabric.",4,0,None
REV-000133,TOP-306,Top,Mast & Harbour,USR-9508,S,160.8,47.7,Hourglass,Fit,"Matches the size chart accurately, so comfortable. Rigid material with no give whatsoever. Great length, falls just right.",4,0,None
REV-000134,DRS-102,Dress,Dressberry,USR-8780,XS,173.6,53.5,Pear,Large,Ordered my usual size XS and it was swimming on me. Fits very comfortably around the waist.,3,1,Fit
REV-000135,ETH-401,Ethnic,Libas,USR-1841,M,159.5,60.3,Petite,Fit,"Absolutely love the fit of size M. Fits very comfortably around the waist. Too long for my height, dragged on the floor without heels.",4,0,None
REV-000136,TOP-303,Top,Dressberry,USR-6139,XS,172.3,52.7,Hourglass,Fit,"Size XS fits like a glove! True to size. Buttons pulled open at the chest. Watch out after washing, might shrink slightly.",5,0,None
REV-000137,DRS-112,Dress,Mast & Harbour,USR-6140,M,170.4,67.5,Pear,Fit,Perfect fit right out of the package. Buttons pulled open at the chest.,5,0,None
REV-000138,JNS-203,Jeans,Roadster,USR-5890,L,155.8,60.6,Regular,Large,"Definitely oversized cut, consider sizing down. A bit longer than pictured on the model. Waist is roomy and relaxed.",2,1,Fit
REV-000139,TOP-313,Top,Taavi,USR-2996,S,163.9,56.2,Athletic,Large,"Runs on the larger side, felt baggy and loose. Chest and shoulder seams align nicely. Watch out after washing, might shrink slightly.",5,0,None
REV-000140,JNS-201,Jeans,Roadster,USR-4505,S,163.0,57.7,Regular,Small,"I usually wear S, but this was way too snug. The waistband dug right into my sides. Great length, falls just right.",3,1,Fit
REV-000141,DRS-107,Dress,Mast & Harbour,USR-1860,L,163.3,68.6,Pear,Small,"I usually wear L, but this was way too snug. Great length, falls just right. Rigid material with no give whatsoever.",1,0,None
REV-000142,ETH-413,Ethnic,Taavi,USR-1969,XS,173.3,55.5,Hourglass,Fit,Absolutely love the fit of size XS. Fabric has zero stretch and is quite stiff.,5,0,None
REV-000143,DRS-112,Dress,Mast & Harbour,USR-9116,S,177.0,51.7,Regular,Large,Ordered my usual size S and it was swimming on me. Length was somewhat brief. Runs small at bust for anyone with curves.,1,0,None
REV-000144,TOP-309,Top,Mango,USR-3198,L,161.5,66.3,Pear,Small,"I usually wear L, but this was way too snug. Waist was noticeably smaller than standard sizing. Tight across the shoulders and chest area.",1,1,Fit
REV-000145,TOP-309,Top,Mango,USR-8007,S,164.4,56.3,Pear,Small,"I usually wear S, but this was way too snug. Buttons pulled open at the chest. Rigid material with no give whatsoever.",2,0,None
